"COD_IDT_COTC";"COD_COTC";"ANO_COTC";"COD_ORG_EMP";"TXT_ORG_EMP";"COD_UNID_ORCM_SOF";"TXT_UNID_ORCM";"COD_TIP_COTC";"TXT_TIP_COTC";"COD_FNDT_LEGA_DESP";"TXT_RESU_FNDT_LEGA";"COD_MODL_LICI_SOF";"TXT_MODL_LICI";"DT_INIC_VIG";"DT_FIM_VIG";"DT_FIM_VIG_ATU";"VAL_EPH_INFM_PRIN";"VAL_EPH_INFM_REAJ";"QTD_DIA_PRZO_ATUL";"VAL_TOT_MNTT_PRIN";"VAL_TOT_MNTT_REAJ";"VAL_TOT_EPH_PRIN";"VAL_TOT_EPH_REAJ";"COD_SITU_COTC_ATU";"COD_COND_PGTO";"TXT_COND_PGTO";"ANO_ATA_REG_PCO";"COD_ATA_REG_PCO";"RP_COD_ORG_EMP";"RP_TXT_ORG_EMP";"RP_COD_EMP_ORG_EXTR";"RP_TXT_EMP_ORG_EXTR";"COD_IND_REAJ_SOF";"TXT_IND_REAJ_SOF";"COD_ORGN_COTC";"NOM_PPST_COTT";"DT_ENVI_PPTA_COTC";"DT_ASSI_DPCH";"DT_PUBL_DPCH";"COD_NRO_PAG_DPCH";"DT_ASSI_COTC";"DT_PUBL_COTC";"COD_NRO_PAG_COTC";"COD_NRO_EDIT_COTC";"COD_NRO_PCSS_SOF";"COD_TIP_DOC";"COD_GSTR_COTC";"NOM_GSTR_COTC";"TXT_DOC_DESG_GSTR";"TXT_OBJE_COTC";"TXT_REAJ_OTRO";"COD_ORG_EMP_ATUAL";"TXT_ORG_EMP_ATUAL";"COD_UNID_ORCM_SOF_ATUAL";"TXT_UNID_ORCM_ATUAL";"VAL_PRIN_ACRE";"VAL_REAJ_ACRE";"QTD_DIA_PRZO_COTR";"VL_TOTAL_ADITAMENTO";"VL_TOTAL_REAJUSTES";"VL_TOTAL_ATUALIZADO";"VL_ATUAL_CONTR_GERAL";"VL_EMPENHADOS_ANTES_GERAL";"VL_EMPENHADOS_APOS_GERAL";"VL_ANULACOES_GERAL";"VL_SALDO_EMPENHAR_GERAL";"VL_SALDO_LIQUIDAR_GERAL";"VL_SALDO_PAGAR_GERAL";"VL_PAGOS_GERAL";"VL_EMPENHOS_CANCELADOS_GERAL";"VL_ATUAL_CONTR_PRINC";"VL_EMPENHADOS_ANTES_PRINC";"VL_EMPENHADOS_APOS_PRINC";"VL_ANULACOES_PRINC";"VL_SALDO_EMPENHAR_PRINC";"VL_SALDO_LIQUIDAR_PRINC";"VL_SALDO_PAGAR_PRINC";"VL_PAGOS_PRINC";"VL_EMPENHOS_CANCELADOS_PRINC";"VL_ATUAL_CONTR_REAJ";"VL_EMPENHADOS_ANTES_REAJ";"VL_EMPENHADOS_APOS_REAJ";"VL_ANULACOES_REAJ";"VL_SALDO_EMPENHAR_REAJ";"VL_SALDO_LIQUIDAR_REAJ";"VL_SALDO_PAGAR_REAJ";"VL_PAGOS_REAJ";"VL_EMPENHOS_CANCELADOS_REAJ";"PERC_ADIT_ACRESC_PATAMAR";"PERC_ADIT_SUPR_PATAMAR";"PERC_ADIT_ACRESC_OBJETO";"PERC_ADIT_SUPR_OBJETO";"QT_PRAZO_ATUAL_ACRESCIMO_OBJ";"QT_PRAZO_ATUAL_SUPRESSAO_OBJ";"QT_PRAZO_ATUAL_ACRESCIMO_PAT";"QT_PRAZO_ATUAL_SUPRESSAO_PAT";"QT_PRAZO_ATUAL_ACRESCIMO_PRO";"QT_PRAZO_ATUAL_SUPRESSAO_PRO";"DOTACAO";"COD_SUB_ELEM_DESP";"DESC_SUB_ELEMENTO";"COD_ITEM_DESP_SOF";"DESC_ITEM_DESP";"COD_ELEM_DESP";"DESC_ELEMENTO";"VL_SALDO_EMPENHAR_TOTAL"
"623410";"9460";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"72";"Nota de Empenho Desapropriações - Interesse Social";"39";"Não Aplicável";"8";"Não Aplicável";"01/04/2026 00:00:00";"01/05/2026 00:00:00";"01/05/2026 00:00:00";"0";"0";"30";"71,26";"0";"71,26";"0";"A";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"010/SIURB/2026";"";"03/03/2026 00:00:00";"01/04/2026 00:00:00";"06/04/2026 00:00:00";"";"07/05/2026 00:00:00";"15/05/2026 00:00:00";"";"Não Aplicável";"7910202600003979";"S";"837819-3";"Eliseu Aparecido Netto";"153678573";"Repasse de recursos para a SP-OBRAS para fins de pagamento de taxa em ação de desapropriação de imóvel necessário para implantação do melhoramento HIS, integrante da Operação Urbana Consorciada Água Espraiada - OUCAE.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"71,26";"0";"30";"0";"0";"71,26";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29.30.16.482.4006.3.354.44903900.08.1.799.0624.0";"66";"Serviços Judiciários";"02";"Serviços de Cartório";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"631443";"16717";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"39";"Não Aplicável";"8";"Não Aplicável";"20/05/2026 00:00:00";"01/06/2026 00:00:00";"01/06/2026 00:00:00";"0";"0";"12";"421086,60";"0";"421086,60";"0";"A";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"TCA 366/2025";"Guilherme dos Santos Coelho";"07/04/2026 00:00:00";"26/05/2026 00:00:00";"27/05/2026 00:00:00";"";"26/05/2026 00:00:00";"27/05/2026 00:00:00";"";"TCA 366/2025";"6022202600025840";"S";"889.836.7";"Guilherme dos Santos Coelho";"154240535";"Pagamento FEMA - TCA nº 366/2025, referente às Obras de Contenção da Margem Direita do Córrego Oratório.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"421086,60";"0";"12";"0";"0";"421086,60";"421086,60";"0";"421086,60";"0";"0";"0";"421086,60";"421086,60";"0";"421086,60";"0";"421086,60";"0";"0";"0";"421086,60";"421086,60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.452.4013.5.087.44913900.00.1.500.9001.1";"01";"Serviços Técnicos Profissionais";"03";"Desenvolvimento de Estudos e Projetos";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"632164";"17364";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"5";"Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente";"115";"Art. 75 - Inciso II - Lei Federal 14.133/2021";"6";"Dispensa de Licitação";"01/06/2026 00:00:00";"02/06/2026 00:00:00";"02/06/2026 00:00:00";"0";"0";"1";"0";"0";"0";"0";"E";"90";"ocumento equivalente";"2025";"12";"13";"Secretaria Municipal de Gestão";"";"";"41";"SEM REAJUSTE";"";"Carlos Antonio  Perotti";"28/05/2025 00:00:00";"29/05/2026 00:00:00";"02/06/2026 00:00:00";"";"";"";"";"12/SEGES-COBES/2025";"6022202600008890";"S";"517692";"Paulo Roberto Ribeiro Da Silva";"158292130";"aquisição de mobiliário padrão, devidamente montado e com mão de obra inclusa, para atendimento das necessidades de expediente e alocação dos servidores das unidades adquirentes (Grupo 6).";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"137600";"0";"1";"0";"0";"137600";"137600";"0";"0";"137600";"0";"0";"0";"0";"0";"137600";"0";"0";"137600";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0"
"632098";"17309";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"5";"Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente";"115";"Art. 75 - Inciso II - Lei Federal 14.133/2021";"6";"Dispensa de Licitação";"01/06/2026 00:00:00";"02/06/2026 00:00:00";"02/06/2026 00:00:00";"0";"0";"1";"0";"0";"0";"0";"E";"30";"";"2026";"1";"13";"Secretaria Municipal de Gestão";"";"";"41";"SEM REAJUSTE";"";"Vanessa Strambeck Lofrano";"26/12/2024 00:00:00";"01/06/2026 00:00:00";"02/06/2026 00:00:00";"";"";"";"";"90011/2024-COBES";"6022202600029765";"S";"887.354-6";"Marcelo Evangelista Morais";"158158335";"Aquisição de Açúcar Refinado Amorfo - 001/SEGES-COBES/2025";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2068,68";"0";"1";"0";"0";"2068,68";"2068,68";"0";"0";"2068,68";"0";"0";"0";"0";"76,80";"2068,68";"0";"0";"2068,68";"0";"0";"0";"0";"76,80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.122.4001.2.100.33903000.00.1.500.9001.0";"07";"Gêneros de Alimentação";"01";"Açúcar";"30";"Material de Consumo";"0"
"635333";"20197";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"1";"Sem Ônus";"39";"Não Aplicável";"8";"Não Aplicável";"29/06/2026 00:00:00";"02/07/2026 00:00:00";"02/07/2026 00:00:00";"0";"0";"3";"249789,44";"0";"249789,44";"0";"A";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"Maira de vinici";"19/06/2026 00:00:00";"26/06/2026 00:00:00";"29/06/2026 00:00:00";"";"";"";"";"";"6022202600043350";"S";"d948065";"viviane cruz";"159733936";"execução das obras (CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA ELABORAÇÃO DE PROJETO EXECUTIVO E EXECUÇÃO DE OBRAS DE MICRODRENAGEM E CANALIZAÇÃO DO AFLUENTE DO CÓRREGO ORATÓRIO DO MUNICÍPIO DE SÃO PAULO.) objeto do Termo de Ajuste nº 5160/2026, celebrado entre SIURB e TRANSPETRO, informamos que foi emitido boleto referente aos custos de acompanhamento técnico, fiscalização e demais serviços prestados pela TRANSPETRO para monitoramento das intervenções executadas na faixa de dutos.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"249789,44";"0";"3";"0";"0";"249789,44";"249789,44";"0";"249789,44";"0";"0";"0";"249789,44";"249789,44";"0";"249789,44";"0";"249789,44";"0";"0";"0";"249789,44";"249789,44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.512.4014.5.013.44903900.00.1.500.0003.0";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"617454";"4356";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"106";"Art. 28 - Inciso II Lei Federal 14.133/2021";"4";"Concorrência";"13/02/2026 00:00:00";"03/02/2028 00:00:00";"03/02/2028 00:00:00";"0";"0";"720";"161293111,22";"0";"48241604,75";"0";"A";"90";"ocumento equivalente";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"156/SIURB/2025";"Emanuel Fagner dos Santos Silva";"31/10/2024 00:00:00";"20/01/2026 00:00:00";"21/01/2026 00:00:00";"";"28/01/2026 00:00:00";"03/02/2026 00:00:00";"";"SDP 001/24/SPOBRAS";"7910202400007547";"S";"822.290-8";"Jonathan Sant'Ana dos Santos";"149464064";"Execução de obras do Corredor BRT Aricanduva, compreendido entre a Av. Radial Leste ¿ o Terminal São Mateus - na região Leste da Cidade de São Paulo. Lote 3: Av. Marapanim até a Rua Vila Boa de Goiás - Extensão de 3.500m.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"161293111,22";"0";"720";"0";"0";"161293111,22";"161293111,22";"0";"48241604,75";"0";"113051506,47";"32112293,63";"16129311,12";"16129311,12";"0";"161293111,22";"0";"48241604,75";"0";"113051506,47";"32112293,63";"16129311,12";"16129311,12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.26.453.4007.1.094.44905100.01.1.754.1376.0";"89";"Obras em Andamento - Uso Comum do Povo";"17";"Corredores de Ônibus";"51";"Obras e Instalações";"113051506,47"
"617463";"4365";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"106";"Art. 28 - Inciso II Lei Federal 14.133/2021";"4";"Concorrência";"13/02/2026 00:00:00";"03/02/2028 00:00:00";"03/02/2028 00:00:00";"0";"0";"720";"131455650,42";"0";"48241604,75";"0";"A";"90";"ocumento equivalente";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"157/SIURB/2025";"MARIA NILDA GARCIA DE LIMA";"24/10/2024 00:00:00";"20/01/2026 00:00:00";"21/01/2026 00:00:00";"";"22/01/2026 00:00:00";"03/02/2026 00:00:00";"";"SDP 001/24/SPOBRAS";"7910202400007547";"S";"300.955.6";"Ricardo Francisco Pereira Cimino";"149464064";"Contratação de empresa ou consórcio de empresas para a execução das obras do BRT Aricanduva, compreendido entre a Avenida Radial Leste e o Terminal São Mateus - na região Leste da cidade de São Paulo, dividido em 4 lotes, parcialmente financiado pelo Banco Internacional de Reconstrução e Desenvolvimento - BIRD - Rua Vila Boa de Goiás até Felisberto Fernandes da Silva, extensão de 3.900m - Lote 4.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"131455650,42";"0";"720";"0";"0";"131455650,42";"131455650,42";"0";"48241604,75";"0";"83214045,67";"35096039,71";"13145565,04";"13145565,04";"0";"131455650,42";"0";"48241604,75";"0";"83214045,67";"35096039,71";"13145565,04";"13145565,04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.26.453.4007.1.094.44905100.01.1.754.1376.0";"89";"Obras em Andamento - Uso Comum do Povo";"17";"Corredores de Ônibus";"51";"Obras e Instalações";"83214045,67"
"617465";"4367";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"106";"Art. 28 - Inciso II Lei Federal 14.133/2021";"4";"Concorrência";"13/02/2026 00:00:00";"03/02/2028 00:00:00";"03/02/2028 00:00:00";"0";"0";"720";"181451952,62";"0";"48241604,75";"0";"A";"8";"";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"155/SIURB/2025";"Sebastião Ronquim";"31/10/2024 00:00:00";"20/01/2026 00:00:00";"21/01/2026 00:00:00";"";"23/01/2026 00:00:00";"03/02/2026 00:00:00";"";"SDP Nº: 001/2024";"7910202400007547";"S";"D575.101-2";"EDUARDO DE CARVALHO PEREIRA";"149499859";"execução das obras do BRT Aricanduva, compreendido entre a Avenida Radial Leste e o Terminal São Mateus - na região Leste da cidade de São Paulo, dividido em 4 lotes, parcialmente financiado pelo Banco Internacional de Reconstrução e Desenvolvimento - BIRD, 2. Lote 2: Rua Astarte até Av. Marapanim - extensão de 3.400mCONSÓRCIO DPE ARICANDUVA, inscrito no CNPJ/MF sob o nº 64.189.050/0001-41, constituído pelas empresas DP BARROS PAVIMENTAÇÃO E CONSTRUÇÃO LTDA., inscrita no CNPJ/MF sob o nº 04.780.776/0001-22, PAULITEC CONSTRUÇÕES LTDA., inscrita no CNPJ/MF sob o nº 49.437.809/0001-74 e ERA TÉCNICA ENGENHARIA CONSTRUÇÕES E SERVIÇOS LTDA., inscrita no CNPJ/MF sob o nº 65.035.222/0001-95.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"181451952,62";"0";"720";"0";"0";"181451952,62";"181451952,62";"0";"48241604,75";"0";"133210347,87";"30096409,49";"18145195,26";"18145195,26";"0";"181451952,62";"0";"48241604,75";"0";"133210347,87";"30096409,49";"18145195,26";"18145195,26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.26.453.4007.1.094.44905100.01.1.754.1376.0";"89";"Obras em Andamento - Uso Comum do Povo";"17";"Corredores de Ônibus";"51";"Obras e Instalações";"133210347,87"
"617452";"4354";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"106";"Art. 28 - Inciso II Lei Federal 14.133/2021";"4";"Concorrência";"13/02/2026 00:00:00";"03/02/2028 00:00:00";"03/02/2028 00:00:00";"0";"0";"720";"172666328,69";"0";"48241604,75";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"154/SIURB/2025";"Bruno Risso Bianchini";"31/10/2024 00:00:00";"20/01/2026 00:00:00";"21/01/2026 00:00:00";"";"23/01/2026 00:00:00";"03/02/2026 00:00:00";"3";"SDP Nº: 001/2024";"7910202400007547";"S";"d7532105";"Paulo Maurício Baccielli Mendes";"149499859";"contratação de empresa ou consórcio de empresas para a execução das obras do BRT Aricanduva, compreendido entre a Avenida Radial Leste e o Terminal São Mateus - na região Leste da cidade de São Paulo, dividido em 4 lotes, parcialmente financiado pelo Banco Internacional de Reconstrução e Desenvolvimento - BIRD.Licitante Vencedor: CONSÓRCIO DPE ARICANDUVA, inscrito no CNPJ/MF sob o nº 64.189.050/0001-41, constituído pelas empresas DP BARROS PAVIMENTAÇÃO E CONSTRUÇÃO LTDA., inscrita no CNPJ/MF sob o nº 04.780.776/0001-22, PAULITEC CONSTRUÇÕES LTDA., inscrita no CNPJ/MF sob o nº 49.437.809/0001-74 e ERA TÉCNICA ENGENHARIA CONSTRUÇÕES E SERVIÇOS LTDA., inscrita no CNPJ/MF sob o nº 65.035.222/0001-95.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"172666328,69";"0";"720";"0";"0";"172666328,69";"172666328,69";"0";"48241604,75";"0";"124424723,94";"30974971,88";"17266632,87";"17266632,87";"0";"172666328,69";"0";"48241604,75";"0";"124424723,94";"30974971,88";"17266632,87";"17266632,87";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.26.453.4007.1.094.44905100.01.1.754.1376.0";"89";"Obras em Andamento - Uso Comum do Povo";"17";"Corredores de Ônibus";"51";"Obras e Instalações";"124424723,94"
"617481";"4383";"2026";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"5";"Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente";"115";"Art. 75 - Inciso II - Lei Federal 14.133/2021";"6";"Dispensa de Licitação";"03/02/2026 00:00:00";"04/02/2026 00:00:00";"04/02/2026 00:00:00";"0";"0";"1";"0";"0";"0";"0";"E";"90";"ocumento equivalente";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"Diego Gonçalves";"30/12/2024 00:00:00";"03/02/2026 00:00:00";"05/02/2026 00:00:00";"";"";"";"";"009/SEGES-COBES/2024";"6022202600005513";"S";"D517692";"Paulo Roberto Ribeiro Da Silva";"149849010";"Aquisição de Café Torrado e Moído, Tipo Superior, Alto Vácuo - 500 Gramas - 009/SEGES-COBES/2024";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"16173";"0";"1";"0";"0";"16173";"16173";"0";"0";"16173";"0";"0";"0";"0";"16173";"16173";"0";"0";"16173";"0";"0";"0";"0";"16173";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.122.4001.2.100.33903000.00.1.500.9001.0";"07";"Gêneros de Alimentação";"02";"Café";"30";"Material de Consumo";"0"
